County,County Code,Race,Race Code,Education,Death Rate
"New Castle County, DE",10003,Black or African American,2054-5,9th through 12th grade with no diploma,14.63
"New Castle County, DE",10003,Black or African American,2054-5,High school graduate or GED completed,17.79
"New Castle County, DE",10003,Black or African American,2054-5,"Some college credit, but not a degree",12.59
"New Castle County, DE",10003,Black or African American,2054-5,"Associate degree (AA, AS)",19.25
"New Castle County, DE",10003,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.51
"New Castle County, DE",10003,Black or African American,2054-5,"Master's degree (MA, MS)",8.25
"New Castle County, DE",10003,Black or African American,2054-5,Unknown/Not on certificate,48.89
"Unidentified Counties, DE",10999,Black or African American,2054-5,9th through 12th grade with no diploma,8.66
"Unidentified Counties, DE",10999,Black or African American,2054-5,High school graduate or GED completed,10.5
"Unidentified Counties, DE",10999,Black or African American,2054-5,"Some college credit, but not a degree",9.45
"District of Columbia, DC",11001,Black or African American,2054-5,9th through 12th grade with no diploma,9.66
"District of Columbia, DC",11001,Black or African American,2054-5,High school graduate or GED completed,10.74
"District of Columbia, DC",11001,Black or African American,2054-5,"Some college credit, but not a degree",9.59
"District of Columbia, DC",11001,Black or African American,2054-5,"Associate degree (AA, AS)",16.1
"District of Columbia, DC",11001,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",10.39
"District of Columbia, DC",11001,Black or African American,2054-5,Unknown/Not on certificate,82.27
"District of Columbia, DC",11001,Black or African American,2054-5,Excluded,14.18
"Brevard County, FL",12009,Black or African American,2054-5,9th through 12th grade with no diploma,18.82
"Brevard County, FL",12009,Black or African American,2054-5,High school graduate or GED completed,10.12
"Brevard County, FL",12009,Black or African American,2054-5,"Some college credit, but not a degree",12.21
"Broward County, FL",12011,Black or African American,2054-5,8th grade or less,11.21
"Broward County, FL",12011,Black or African American,2054-5,9th through 12th grade with no diploma,9.04
"Broward County, FL",12011,Black or African American,2054-5,High school graduate or GED completed,9.07
"Broward County, FL",12011,Black or African American,2054-5,"Some college credit, but not a degree",7.29
"Broward County, FL",12011,Black or African American,2054-5,"Associate degree (AA, AS)",6.68
"Broward County, FL",12011,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",6.75
"Broward County, FL",12011,Black or African American,2054-5,"Master's degree (MA, MS)",7.57
"Broward County, FL",12011,Black or African American,2054-5,Unknown/Not on certificate,59.45
"Collier County, FL",12021,Black or African American,2054-5,High school graduate or GED completed,13.22
"Duval County, FL",12031,Black or African American,2054-5,8th grade or less,10.87
"Duval County, FL",12031,Black or African American,2054-5,9th through 12th grade with no diploma,12.93
"Duval County, FL",12031,Black or African American,2054-5,High school graduate or GED completed,11.25
"Duval County, FL",12031,Black or African American,2054-5,"Some college credit, but not a degree",12.73
"Duval County, FL",12031,Black or African American,2054-5,"Associate degree (AA, AS)",7.19
"Duval County, FL",12031,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",13.25
"Duval County, FL",12031,Black or African American,2054-5,"Master's degree (MA, MS)",10.29
"Duval County, FL",12031,Black or African American,2054-5,Unknown/Not on certificate,210.14
"Escambia County, FL",12033,Black or African American,2054-5,9th through 12th grade with no diploma,15.23
"Escambia County, FL",12033,Black or African American,2054-5,High school graduate or GED completed,12.4
"Escambia County, FL",12033,Black or African American,2054-5,"Some college credit, but not a degree",11.51
"Hillsborough County, FL",12057,Black or African American,2054-5,8th grade or less,18.55
