,Area name,GEOID,Race,Race Code,Education,Death Rate
106,Arapahoe County,8005,Black or African American,2054-5,Excluded,15.34
107,Denver County,8031,Black or African American,2054-5,9th through 12th grade with no diploma,10.9
108,Denver County,8031,Black or African American,2054-5,High school graduate or GED completed,12.19
109,Denver County,8031,Black or African American,2054-5,"Some college credit, but not a degree",7.57
110,Denver County,8031,Black or African American,2054-5,Excluded,10.93
111,El Paso County,8041,Black or African American,2054-5,High school graduate or GED completed,12.22
112,El Paso County,8041,Black or African American,2054-5,"Some college credit, but not a degree",8.35
113,Fairfield County,9001,Black or African American,2054-5,Excluded,10.51
114,Hartford County,9003,Black or African American,2054-5,Excluded,11.3
115,New Haven County,9009,Black or African American,2054-5,Excluded,10.52
116,New London County,9011,Black or African American,2054-5,Excluded,10.33
117,Unidentified Counties,9999,Black or African American,2054-5,Excluded,9.46
118,New Castle County,10003,Black or African American,2054-5,9th through 12th grade with no diploma,14.63
119,New Castle County,10003,Black or African American,2054-5,High school graduate or GED completed,17.79
120,New Castle County,10003,Black or African American,2054-5,"Some college credit, but not a degree",12.59
121,New Castle County,10003,Black or African American,2054-5,"Associate degree (AA, AS)",19.25
122,New Castle County,10003,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.51
123,New Castle County,10003,Black or African American,2054-5,"Master's degree (MA, MS)",8.25
124,New Castle County,10003,Black or African American,2054-5,Unknown/Not on certificate,48.89
125,Unidentified Counties,10999,Black or African American,2054-5,9th through 12th grade with no diploma,8.66
126,Unidentified Counties,10999,Black or African American,2054-5,High school graduate or GED completed,10.5
127,Unidentified Counties,10999,Black or African American,2054-5,"Some college credit, but not a degree",9.45
128,District of Columbia,11001,Black or African American,2054-5,9th through 12th grade with no diploma,9.66
129,District of Columbia,11001,Black or African American,2054-5,High school graduate or GED completed,10.74
130,District of Columbia,11001,Black or African American,2054-5,"Some college credit, but not a degree",9.59
131,District of Columbia,11001,Black or African American,2054-5,"Associate degree (AA, AS)",16.1
132,District of Columbia,11001,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",10.39
133,District of Columbia,11001,Black or African American,2054-5,Unknown/Not on certificate,82.27
134,District of Columbia,11001,Black or African American,2054-5,Excluded,14.18
135,Brevard County,12009,Black or African American,2054-5,9th through 12th grade with no diploma,18.82
136,Brevard County,12009,Black or African American,2054-5,High school graduate or GED completed,10.12
137,Brevard County,12009,Black or African American,2054-5,"Some college credit, but not a degree",12.21
138,Broward County,12011,Black or African American,2054-5,8th grade or less,11.21
139,Broward County,12011,Black or African American,2054-5,9th through 12th grade with no diploma,9.04
140,Broward County,12011,Black or African American,2054-5,High school graduate or GED completed,9.07
141,Broward County,12011,Black or African American,2054-5,"Some college credit, but not a degree",7.29
142,Broward County,12011,Black or African American,2054-5,"Associate degree (AA, AS)",6.68
143,Broward County,12011,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",6.75
144,Broward County,12011,Black or African American,2054-5,"Master's degree (MA, MS)",7.57
145,Broward County,12011,Black or African American,2054-5,Unknown/Not on certificate,59.45
146,Collier County,12021,Black or African American,2054-5,High school graduate or GED completed,13.22
147,Duval County,12031,Black or African American,2054-5,8th grade or less,10.87
148,Duval County,12031,Black or African American,2054-5,9th through 12th grade with no diploma,12.93
149,Duval County,12031,Black or African American,2054-5,High school graduate or GED completed,11.25
150,Duval County,12031,Black or African American,2054-5,"Some college credit, but not a degree",12.73
151,Duval County,12031,Black or African American,2054-5,"Associate degree (AA, AS)",7.19
152,Duval County,12031,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",13.25
153,Duval County,12031,Black or African American,2054-5,"Master's degree (MA, MS)",10.29
154,Duval County,12031,Black or African American,2054-5,Unknown/Not on certificate,210.14
155,Escambia County,12033,Black or African American,2054-5,9th through 12th grade with no diploma,15.23
156,Escambia County,12033,Black or African American,2054-5,High school graduate or GED completed,12.4
157,Escambia County,12033,Black or African American,2054-5,"Some college credit, but not a degree",11.51
158,Hillsborough County,12057,Black or African American,2054-5,8th grade or less,18.55
159,Hillsborough County,12057,Black or African American,2054-5,9th through 12th grade with no diploma,16.07
160,Hillsborough County,12057,Black or African American,2054-5,High school graduate or GED completed,14.21
161,Hillsborough County,12057,Black or African American,2054-5,"Some college credit, but not a degree",14.88
162,Hillsborough County,12057,Black or African American,2054-5,"Associate degree (AA, AS)",13.43
163,Hillsborough County,12057,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",8.8
164,Hillsborough County,12057,Black or African American,2054-5,Unknown/Not on certificate,102.47
165,Lake County,12069,Black or African American,2054-5,High school graduate or GED completed,20.44
166,Lee County,12071,Black or African American,2054-5,9th through 12th grade with no diploma,10.95
167,Lee County,12071,Black or African American,2054-5,High school graduate or GED completed,13.99
168,Lee County,12071,Black or African American,2054-5,"Some college credit, but not a degree",13.11
169,Leon County,12073,Black or African American,2054-5,High school graduate or GED completed,10.34
170,Leon County,12073,Black or African American,2054-5,"Some college credit, but not a degree",9.56
171,Manatee County,12081,Black or African American,2054-5,9th through 12th grade with no diploma,15.08
172,Manatee County,12081,Black or African American,2054-5,High school graduate or GED completed,15.72
173,Marion County,12083,Black or African American,2054-5,9th through 12th grade with no diploma,14.42
174,Marion County,12083,Black or African American,2054-5,High school graduate or GED completed,16.45
175,Marion County,12083,Black or African American,2054-5,"Some college credit, but not a degree",11.18
176,Miami-Dade County,12086,Black or African American,2054-5,8th grade or less,15.01
177,Miami-Dade County,12086,Black or African American,2054-5,9th through 12th grade with no diploma,11.99
178,Miami-Dade County,12086,Black or African American,2054-5,High school graduate or GED completed,9.23
179,Miami-Dade County,12086,Black or African American,2054-5,"Some college credit, but not a degree",7.59
180,Miami-Dade County,12086,Black or African American,2054-5,"Associate degree (AA, AS)",7.83
181,Miami-Dade County,12086,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",6.87
182,Miami-Dade County,12086,Black or African American,2054-5,"Master's degree (MA, MS)",6.88
183,Miami-Dade County,12086,Black or African American,2054-5,Unknown/Not on certificate,85.25
184,Orange County,12095,Black or African American,2054-5,9th through 12th grade with no diploma,12.25
185,Orange County,12095,Black or African American,2054-5,High school graduate or GED completed,10.92
186,Orange County,12095,Black or African American,2054-5,"Some college credit, but not a degree",11.55
187,Orange County,12095,Black or African American,2054-5,"Associate degree (AA, AS)",10.75
